Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
ANA,02/01/2019,74.8,73.9,156300,11621188.98,74.8,75.16,72.38,74.3518
ANA,03/01/2019,76.34,74.8,140331,10632703.64,76.34,76.6,74.54,75.7687
ANA,04/01/2019,76.62,76.34,130309,10010838.76,76.62,77.4,76.4,76.8162
ANA,07/01/2019,77.14,76.62,63349,4855724.92,77.14,77.3,75.62,76.6504
ANA,08/01/2019,78.24,77.14,99300,7749464.7,78.24,78.46,77.0,78.0409
ANA,09/01/2019,77.64,78.24,111912,8661432.24,77.64,78.82,76.6,77.395
ANA,10/01/2019,78.74,77.64,76146,5983497.62,78.74,78.88,77.52,78.5793
ANA,11/01/2019,79.08,78.74,86809,6860996.34,79.08,79.7,78.54,79.0355
ANA,14/01/2019,79.28,79.08,97419,7700806.9,79.28,79.62,78.32,79.0483
ANA,15/01/2019,80.0,79.28,71241,5681059.56,80.0,80.0,79.32,79.7442
ANA,16/01/2019,79.64,80.0,145102,11470903.64,79.64,80.04,76.78,79.0541
ANA,17/01/2019,78.84,79.64,148732,11799876.6,78.84,80.0,78.84,79.2869
ANA,18/01/2019,79.68,78.84,125542,10015930.76,79.68,80.26,79.12,79.7829
ANA,21/01/2019,79.66,79.68,74057,5911673.72,79.66,80.18,79.52,79.8156
ANA,22/01/2019,79.96,79.66,89460,7173625.0,79.96,80.68,79.2,80.1728
ANA,23/01/2019,80.98,79.96,83372,6741013.38,80.98,81.3,79.68,80.8566
ANA,24/01/2019,81.3,80.98,120539,9788869.09,81.3,81.76,80.8,81.2195
ANA,25/01/2019,81.9,81.3,107315,8820336.98,81.9,83.0,81.5,82.1911
ANA,28/01/2019,80.52,81.9,164014,13327054.66,80.52,81.84,80.1,80.7605
ANA,29/01/2019,81.34,80.52,88383,7178818.48,81.34,81.68,80.4,81.224
ANA,30/01/2019,81.88,81.34,83851,6840514.28,81.88,81.94,80.68,81.5794
ANA,31/01/2019,83.1,81.88,191204,15871881.88,83.1,83.48,82.0,83.0102
ANA,01/02/2019,83.44,83.1,141670,11806470.22,83.44,83.8,82.38,83.3378
ANA,04/02/2019,83.66,83.44,84330,7031155.46,83.66,83.7,82.84,83.3767
ANA,05/02/2019,84.84,83.66,97803,8220265.44,84.84,84.84,83.02,84.0492
ANA,06/02/2019,84.18,84.84,80244,6772395.7,84.18,84.9,84.12,84.3975
ANA,07/02/2019,83.28,84.18,89052,7461727.88,83.28,84.56,83.28,83.7861
ANA,08/02/2019,81.86,83.28,96716,7964207.68,81.86,83.36,81.76,82.3463
ANA,11/02/2019,81.54,81.86,107490,8755927.99,81.54,81.94,80.3,81.4465
ANA,12/02/2019,82.6,81.54,97969,8096240.78,82.6,83.1,81.84,82.6408
ANA,13/02/2019,81.72,82.6,93855,7690368.56,81.72,82.92,81.44,81.9388
ANA,14/02/2019,81.58,81.72,164432,13468201.26,81.58,82.36,81.32,81.9074
ANA,15/02/2019,82.54,81.58,87521,7195321.8,82.54,82.62,81.12,82.2125
ANA,18/02/2019,83.14,82.54,60039,4977408.26,83.14,83.18,82.48,82.9029
ANA,19/02/2019,82.82,83.14,60819,5039326.22,82.82,83.48,82.52,82.8578
ANA,20/02/2019,83.28,82.82,80483,6712017.62,83.28,83.82,82.84,83.3967
ANA,21/02/2019,84.14,83.28,97010,8129289.68,84.14,84.2,83.28,83.7985
ANA,22/02/2019,83.9,84.14,77920,6545031.84,83.9,84.38,83.64,83.9968
ANA,25/02/2019,84.8,83.9,81504,6893208.98,84.8,84.8,83.9,84.5751
ANA,26/02/2019,85.56,84.8,96718,8255651.84,85.56,85.78,84.2,85.358
ANA,27/02/2019,85.0,85.56,120143,10206649.73,85.0,85.48,84.64,84.9569
ANA,28/02/2019,85.44,85.0,111855,9521401.9,85.44,85.56,83.7,85.1227
ANA,01/03/2019,89.6,85.44,269822,23969354.43,89.6,90.1,86.0,88.8301
ANA,04/03/2019,89.2,89.6,141006,12539973.34,89.2,89.6,87.16,88.9322
ANA,05/03/2019,89.9,89.2,96238,8600855.06,89.9,89.9,88.02,89.3707
ANA,06/03/2019,89.98,89.9,73424,6584599.18,89.98,90.0,88.96,89.6791
ANA,07/03/2019,90.84,89.98,118501,10712371.82,90.84,90.84,89.6,90.4213
ANA,08/03/2019,90.4,90.84,60598,5483175.38,90.4,91.0,89.76,90.4844
ANA,11/03/2019,91.78,90.4,59614,5442017.42,91.78,91.78,90.24,91.2876
ANA,12/03/2019,91.86,91.78,66102,6065272.48,91.86,92.04,91.2,91.7563
ANA,13/03/2019,92.84,91.86,87280,8081042.12,92.84,92.84,91.72,92.5876
ANA,14/03/2019,92.98,92.84,49915,4644463.2,92.98,93.4,92.5,93.0474
ANA,15/03/2019,94.0,92.98,184970,17160980.6,94.0,94.1,92.86,93.7422
ANA,18/03/2019,94.82,94.0,171354,16168054.52,94.82,94.9,93.44,94.3566
ANA,19/03/2019,95.2,94.82,276680,26373025.1,95.2,95.98,94.36,95.2595
ANA,20/03/2019,96.4,95.2,112303,10783688.78,96.4,96.76,94.3,96.0232
ANA,21/03/2019,97.96,96.4,97410,9500644.96,97.96,98.26,96.5,97.5325
ANA,22/03/2019,98.06,97.96,127996,12544704.32,98.06,98.72,97.6,98.0178
ANA,25/03/2019,97.62,98.06,160049,15540887.28,97.62,97.9,94.62,97.0991
ANA,26/03/2019,98.7,97.62,94271,9292202.02,98.7,99.3,97.72,98.569
ANA,27/03/2019,99.14,98.7,109198,10815158.54,99.14,99.5,98.4,99.0417
ANA,28/03/2019,99.98,99.14,112222,11203889.67,99.98,100.2,99.0,99.8368
ANA,29/03/2019,99.3,99.98,150416,15056549.93,99.3,101.6,99.16,100.0994
ANA,01/04/2019,99.3,99.3,157781,15611207.05,99.3,100.1,98.0,98.9312
ANA,02/04/2019,101.5,99.3,210745,21188012.65,101.5,102.3,99.35,101.214
ANA,03/04/2019,103.0,101.5,111939,11475100.9,103.0,103.0,101.0,102.5121
ANA,04/04/2019,105.7,103.0,209996,22069551.8,105.7,105.9,103.0,105.0951
ANA,05/04/2019,103.9,105.7,190039,19708114.64,103.9,105.9,102.1,103.7023
ANA,08/04/2019,104.5,103.9,91482,9533420.1,104.5,104.7,103.4,104.2109
ANA,09/04/2019,103.6,104.5,205168,21222563.21,103.6,104.9,102.5,103.5275
ANA,10/04/2019,105.2,103.6,282571,29740249.6,105.2,106.6,103.9,105.2488
ANA,11/04/2019,105.3,105.2,101001,10594323.15,105.3,105.9,104.0,104.9023
ANA,12/04/2019,103.0,105.3,142693,14769373.0,103.0,105.7,103.0,103.5045
ANA,15/04/2019,103.4,103.0,138003,14268316.8,103.4,104.5,102.8,103.3914
ANA,16/04/2019,103.0,103.4,127645,13146040.2,103.0,103.8,102.5,102.9891
ANA,17/04/2019,100.9,103.0,194067,19562195.65,100.9,102.6,99.5,100.8012
ANA,18/04/2019,101.9,100.9,83548,8483563.4,101.9,102.1,100.5,101.5574
ANA,23/04/2019,101.9,101.9,76554,7775345.5,101.9,102.4,100.7,101.5668
ANA,24/04/2019,102.0,101.9,87157,8836008.2,102.0,102.0,100.1,101.3804
ANA,25/04/2019,102.9,102.0,88678,9118096.8,102.9,103.2,101.7,102.8225
ANA,26/04/2019,102.6,102.9,70877,7270838.8,102.6,103.1,101.9,102.5839
ANA,29/04/2019,102.6,102.6,144134,14686935.7,102.6,102.6,100.4,101.9578
ANA,30/04/2019,103.3,102.6,88175,9076827.2,103.3,103.3,102.3,102.9411
ANA,02/05/2019,100.4,103.3,127618,12896862.2,100.4,103.1,100.4,101.0583
ANA,03/05/2019,101.2,100.4,67698,6848600.4,101.2,101.7,100.9,101.164
ANA,06/05/2019,99.25,101.2,111292,11062408.3,99.25,100.8,98.4,99.3999
ANA,07/05/2019,99.85,99.25,102944,10280606.85,99.85,101.0,98.9,99.866
ANA,08/05/2019,99.8,99.85,94774,9469337.35,99.8,100.4,99.45,99.9149
ANA,09/05/2019,101.0,99.8,85788,8628430.05,101.0,101.1,99.7,100.5785
ANA,10/05/2019,97.95,101.0,229867,22557680.72,97.95,101.8,96.0,98.2607
ANA,13/05/2019,95.6,97.95,156307,15057565.85,95.6,98.2,94.9,96.194
ANA,14/05/2019,98.1,95.6,98947,9627364.55,98.1,98.2,95.5,97.2982
ANA,15/05/2019,97.35,98.1,79731,7768390.85,97.35,98.65,96.2,97.4546
ANA,16/05/2019,94.5,97.35,139760,13274458.55,94.5,97.15,93.9,95.0063
ANA,17/05/2019,94.9,94.5,83261,7901803.2,94.9,95.55,94.2,94.904
ANA,20/05/2019,95.7,94.9,78454,7501425.65,95.7,96.45,95.0,95.6156
ANA,21/05/2019,96.6,95.7,65983,6360645.3,96.6,96.65,95.4,96.3982
ANA,22/05/2019,96.4,96.6,64312,6209427.2,96.4,97.3,95.75,96.5516
ANA,23/05/2019,94.9,96.4,96283,9167403.55,94.9,95.95,94.9,95.2131
ANA,24/05/2019,95.95,94.9,84962,8166107.67,95.95,96.75,94.4,96.069
ANA,27/05/2019,96.95,95.95,45259,4390690.05,96.95,97.8,96.15,97.0125
ANA,28/05/2019,95.85,96.95,97505,9396174.6,95.85,97.9,95.85,96.3661
ANA,29/05/2019,95.55,95.85,84712,8074066.75,95.55,95.85,94.7,95.3361
ANA,30/05/2019,95.25,95.55,68547,6556708.0,95.25,96.65,94.85,95.6527
ANA,31/05/2019,95.85,95.25,92540,8783388.8,95.85,96.05,93.85,94.9264
ANA,03/06/2019,97.9,95.85,148352,14338899.45,97.9,98.1,94.35,96.856
ANA,04/06/2019,98.85,97.9,248024,24401354.75,98.85,99.75,97.05,98.9575
ANA,05/06/2019,100.6,98.85,117486,11772084.65,100.6,100.9,98.95,100.1958
ANA,06/06/2019,102.0,100.6,132821,13530422.6,102.0,102.6,100.8,101.8696
ANA,07/06/2019,102.1,102.0,105772,10789999.8,102.1,102.8,101.3,102.0228
ANA,10/06/2019,100.5,102.1,65564,6590398.49,100.5,102.5,100.0,100.5559
